cut,color,n,percent
Ideal,G,4884,0.09054505005561735
Ideal,E,3903,0.07235817575083427
Ideal,F,3826,0.07093066370040786
Ideal,H,3115,0.05774935113088617
Premium,G,2924,0.054208379681127176
Ideal,D,2834,0.05253985910270671
Very Good,E,2400,0.04449388209121246
Premium,H,2360,0.04375231738969225
Premium,E,2337,0.04332591768631813
Premium,F,2331,0.0432146829810901
Very Good,G,2299,0.04262143121987393
Very Good,F,2164,0.04011865035224323
Ideal,I,2093,0.038802373007044866
Very Good,H,1824,0.033815350389321465
Premium,D,1603,0.02971820541342232
Very Good,D,1513,0.028049684835001854
Premium,I,1428,0.026473859844271412
Very Good,I,1204,0.02232109751575825
Good,E,933,0.017296996662958843
Good,F,909,0.016852057842046717
Ideal,J,896,0.01661104931405265
Good,G,871,0.01614757137560252
Premium,J,808,0.014979606970708194
Good,H,702,0.013014460511679643
Very Good,J,678,0.01256952169076752
Good,D,662,0.012272895810159437
Good,I,522,0.00967741935483871
Fair,G,314,0.00582128290693363
Fair,F,312,0.005784204671857619
Good,J,307,0.005691509084167594
Fair,H,303,0.005617352614015573
Fair,E,224,0.004152762328513163
Fair,I,175,0.0032443455691509083
Fair,D,163,0.003021876158694846
Fair,J,119,0.002206154987022618
